Groep;Coupa-kolom;Status;MCM2-veld;Toelichting;Akkoord (ja/nee);Jouw commentaar
Risico & classificatie;Ondersteuning kern activiteiten;nieuw;—;Los risicocriterium, geen equivalent. Vraagt eigen veld of hergebruik van businessCriticality?;;
Risico & classificatie;Data gevoeligheid;bestaat al;vendor.riskScore (?);Geen exacte match — riskScore is numeriek, dit is een schaal (Geen/Beperkt/...). Check of dit hetzelfde concept is.;;
Risico & classificatie;Leverancier risico profiel;bestaat al;vendor.businessCriticalityCode;Ligt dicht bij de bestaande criticality-codelijst — waarden vergelijken vóór mapping.;;
Risico & classificatie;Hosting locatie;nieuw;—;Geen veld op vendor of contract. NIS2-relevant (dataresidentie).;;
Risico & classificatie;Classificatie;bestaat al;vendor.categoryCode;Naam suggereert overlap — waarden in de sample (High/Medium/Low) zijn geen categorie maar impact. Mogelijk toch nieuw veld.;;
Risico & classificatie;IB&P;nieuw;—;Informatiebeveiliging & Privacy-classificatie (High/Medium/Low). Kernveld voor NIS2, nog geen plek.;;
Risico & classificatie;MSR;nieuw;—;Minimum Security Requirements ondertekend (Ja/Nee) — leverancierscompliance, geen equivalent.;;
Risico & classificatie;ISO 27001;bestaat al;vendor.complianceStatusCode;Past onder de bestaande compliance-status, maar die is nu één vrij veld — dit is één specifiek certificaat ernaast.;;
Contract kernvelden;Contract Name;bestaat al;contract.name;Directe match.;;
Contract kernvelden;Contract #;bestaat al;contract.contractNumber;Directe match.;;
Contract kernvelden;Supplier Name;bestaat al;vendor.name;Sleutel voor matching/aanmaken van de vendor bij import.;;
Contract kernvelden;Starts;bestaat al;contract.startDate;Directe match.;;
Contract kernvelden;Expires;bestaat al;contract.endDate;Directe match. Bepaalt ook de "binnen 90 dagen"-indicator (#172).;;
Contract kernvelden;Contact Persoon / Contact Persoon Email;bestaat al;contract.vendorContactId;Vraagt matching-logica: bestaande vendorContact vinden of nieuwe aanmaken bij import.;;
Contract kernvelden;Description;nieuw;—;Vrije tekst, vaak inhoudelijk (zie sample: scope-omschrijvingen). Kan op note of eigen veld.;;
Contract kernvelden;Remarks;nieuw;contract.note (deels);In de sample: logboek van uitvraag-updates. Eén vrij tekstveld bestaat al — past inhoud of is dit een apart historie-veld?;;
Contract kernvelden;Term of notice (date) / Term of notice (months);nieuw;—;Opzegtermijn — er is al een aparte spec voor (2026-08-23). Nagaan of het schema al ver genoeg is.;;
Compliance & leveranciersbeoordeling;Pilot Survey Proces;nieuw;contractSurveyTemplate (gerelateerd);Ja/Nee-vlag of contract al in een surveyproces zit — koppeltabel bestaat, deze vlag niet.;;
Compliance & leveranciersbeoordeling;Compliance Docu via web verkrijgbaar;nieuw;—;URL naar leverancierscertificeringen (trust center e.d.). Nuttig veld, nog geen plek.;;
Compliance & leveranciersbeoordeling;DPA;niet overnemen;—;Verwerkersovereenkomst-vlag — overlapt met "Compliance Docu"/ISO-thema. Eén concept, niet drie losse vlaggen.;;
Compliance & leveranciersbeoordeling;Minimum security requirements;niet overnemen;—;Duplicaat van kolom "MSR" hierboven (Coupa heeft 'm dubbel benoemd in de export).;;
Compliance & leveranciersbeoordeling;IB & P Classificatie*;niet overnemen;—;Duplicaat van "IB&P" hierboven.;;
Compliance & leveranciersbeoordeling;Contact supplier;niet overnemen;—;Leeg of duplicaat van Contact Persoon in alle 20 rijen.;;
Niet overnemen — Coupa-operationeel;Supplier Number;niet overnemen;—;Coupa-interne sleutel;;
Niet overnemen — Coupa-operationeel;Status;niet overnemen;—;Coupa-workflowstatus ("published"), niet ons statusmodel;;
Niet overnemen — Coupa-operationeel;Currency;niet overnemen;—;Altijd EUR in de sample;;
Niet overnemen — Coupa-operationeel;Supplier Account #;niet overnemen;—;Finance-koppeling;;
Niet overnemen — Coupa-operationeel;Owner Login;niet overnemen;—;Coupa-gebruikersnaam, geen MCM2-user;;
Niet overnemen — Coupa-operationeel;Default on Unbacked Lines;niet overnemen;—;Inkoop-workflow;;
Niet overnemen — Coupa-operationeel;Supplier Can Invoice Directly;niet overnemen;—;Facturatie-instelling;;
Niet overnemen — Coupa-operationeel;Default Account for Supplier Invoice;niet overnemen;—;Facturatie/boekhouding;;
Niet overnemen — Coupa-operationeel;Savings %;niet overnemen;—;Inkoop-KPI, leeg in de sample;;
Niet overnemen — Coupa-operationeel;Minimum Spend / Maximum Spend;niet overnemen;—;Budgetplafonds, financieel — buiten scope contractbeheer;;
Niet overnemen — Coupa-operationeel;Stop Spend Over Contract Value;niet overnemen;—;Inkoop-workflow, altijd leeg/"no";;
Niet overnemen — Coupa-operationeel;Content Groups;niet overnemen;—;Altijd "Everyone" — Coupa-toegangsgroep;;
Niet overnemen — Coupa-operationeel;Use Order Windows;niet overnemen;—;Inkoop-workflow;;
Niet overnemen — Coupa-operationeel;Payment Terms / Shipping Terms;niet overnemen;—;Inkoopvoorwaarden, financieel;;
Niet overnemen — Coupa-operationeel;Order Windows (Sun-Sat, Timezone, PO Message, Requisition Message);niet overnemen;—;9 kolommen, allemaal "anytime"/leeg — bestelvensters, geen contractdata;;
Niet overnemen — Coupa-operationeel;Execution Date / Published Date;niet overnemen;—;Coupa-workflowdata, geen contractinhoud;;
Niet overnemen — Coupa-operationeel;Contract Type Custom Field 1-10;niet overnemen;—;10 kolommen, allemaal leeg in de sample;;
Niet overnemen — Coupa-operationeel;Department Name;niet overnemen;—;Transdev-interne afdeling — geen MCM2-concept;;
Niet overnemen — Coupa-operationeel;Contract Type Name;niet overnemen;—;Coupa-typenaam, leeg in de sample;;
Niet overnemen — Coupa-operationeel;Contract action*;niet overnemen;—;Coupa-wijzigingslogboek (New/Adjustment/Renewal);;
Niet overnemen — Coupa-operationeel;Contract holder*;niet overnemen;—;Transdev-medewerkerscode, geen MCM2-user;;
Niet overnemen — Coupa-operationeel;Parent Contract #;niet overnemen;—;Contracthiërarchie — mogelijk later relevant, nu niet in scope;;
Niet overnemen — Coupa-operationeel;Entity*;niet overnemen;—;Transdev-juridische entiteit (bv. "Transdev Nederland NV");;
Niet overnemen — Coupa-operationeel;Purchaser;niet overnemen;—;Transdev-inkoper;;
Niet overnemen — Coupa-operationeel;Region or Concession*;niet overnemen;—;Transdev-concessiecode, tenant-specifiek;;
Niet overnemen — Coupa-operationeel;Commodity*;niet overnemen;—;Transdev-inkoopcategorie (ICT/HR/CAPEX);;
Niet overnemen — Coupa-operationeel;Contract type;niet overnemen;—;Coupa-contractsoort (Raamovereenkomst/Dienstenovereenkomst) — mogelijk later, nu niet in scope;;
Niet overnemen — Coupa-operationeel;Contract classification *;niet overnemen;—;Coupa Tier 1/2/3 — overlapt met "Leverancier risico profiel" hierboven;;
Niet overnemen — Coupa-operationeel;Index;niet overnemen;—;Vrije tekst indexatieclausule — juridisch detail, geen structureel veld;;
Niet overnemen — Coupa-operationeel;Automatic Renewal;niet overnemen;—;Ja/Nee — mogelijk relevant, maar overlapt met opzegtermijn-spec (zie contract-kern);;
Niet overnemen — Coupa-operationeel;Kickback / Kickback date;niet overnemen;—;Vrijwel altijd leeg/"No" in de sample;;
Niet overnemen — Coupa-operationeel;Renewal length;niet overnemen;—;Verlengingsduur in maanden — juridisch detail;;
Niet overnemen — Coupa-operationeel;Counter;niet overnemen;—;Altijd "1" — exportartefact, geen data;;
